timestamp,host,sent,received,packet_loss_percent,min_rtt_ms,avg_rtt_ms,max_rtt_ms
2026-01-07T07:32:00.993559,10.0.2.2,4,4,0.0,0.571,0.851,1.489
2026-01-07T07:32:00.993559,1.1.1.1,4,4,0.0,20.843,32.261,44.277
2026-01-07T07:32:00.993559,8.8.8.8,4,4,0.0,30.127,40.639,49.406
